"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17, 2016","50,913.79","47,770.46","51,268.15","47,770.46","7.47M","6.60%"
"Mar 16, 2016","47,763.43","47,129.74","47,813.79","46,520.81","5.27M","1.34%"
"Mar 15, 2016","47,130.02","48,866.35","48,866.35","46,684.42","5.67M","-3.56%"
"Mar 14, 2016","48,867.33","49,639.02","50,165.85","48,756.51","4.95M","-1.55%"
"Mar 11, 2016","49,638.68","49,573.88","50,038.37","49,156.02","6.19M","0.14%"
"Mar 10, 2016","49,571.11","48,666.75","49,974.19","47,922.39","7.70M","1.86%"
"Mar 09, 2016","48,665.09","49,102.41","50,000.84","48,623.35","6.42M","-0.89%"
"Mar 08, 2016","49,102.14","49,244.43","49,913.77","48,846.92","7.37M","-0.29%"
"Mar 07, 2016","49,246.10","49,089.16","49,639.26","48,746.43","5.90M","0.33%"
"Mar 04, 2016","49,084.87","47,193.67","50,023.75","47,193.67","10.60M","4.01%"
"Mar 03, 2016","47,193.39","44,900.39","47,374.52","44,900.39","9.31M","5.12%"
"Mar 02, 2016","44,893.48","44,121.93","44,982.91","43,841.19","5.16M","1.75%"
"Mar 01, 2016","44,121.79","42,795.17","44,181.29","42,795.17","4.75M","3.10%"
"Feb 29, 2016","42,793.86","41,599.44","43,052.61","41,599.44","4.61M","2.89%"
"Feb 26, 2016","41,593.08","41,889.06","42,495.22","41,416.54","3.38M","-0.70%"
"Feb 25, 2016","41,887.90","42,083.56","42,326.62","41,441.70","4.05M","-0.47%"
"Feb 24, 2016","42,084.56","42,520.70","42,520.70","41,210.72","3.63M","-1.03%"
"Feb 23, 2016","42,520.94","43,235.10","43,601.33","42,358.66","3.92M","-1.65%"
"Feb 22, 2016","43,234.85","41,544.38","43,345.22","41,544.38","4.65M","4.07%"
"Feb 19, 2016","41,543.40","41,476.90","41,827.97","41,070.88","3.40M","0.16%"
"Feb 18, 2016","41,477.63","41,623.94","41,697.80","41,183.40","3.64M","-0.37%"
"Feb 17, 2016","41,630.82","40,957.61","42,436.44","40,957.61","5.47M","1.67%"
"Feb 16, 2016","40,947.70","40,093.26","41,206.47","40,074.23","4.04M","2.13%"
"Feb 15, 2016","40,092.89","39,808.41","40,671.42","39,808.41","1.75M","0.72%"
"Feb 14, 2016","39,808.05","39,808.05","39,808.05","39,808.05","-","0.00%"
"Feb 12, 2016","39,808.05","39,324.24","39,900.58","39,324.24","3.43M","1.25%"
"Feb 11, 2016","39,318.30","40,370.02","40,370.02","38,927.56","3.79M","-2.62%"
"Feb 10, 2016","40,376.58","40,592.09","40,592.09","39,960.18","-","-0.53%"
"Feb 05, 2016","40,592.09","40,811.80","41,248.75","40,565.83","3.67M","-0.56%"
"Feb 04, 2016","40,821.74","39,589.17","41,444.20","39,589.17","5.56M","3.11%"
"Feb 03, 2016","39,588.82","38,596.53","39,725.69","38,596.53","4.37M","2.57%"
"Feb 02, 2016","38,596.17","40,563.78","40,563.78","38,596.17","4.56M","-4.87%"
"Feb 01, 2016","40,570.04","40,396.51","40,570.04","39,738.09","3.77M","0.41%"
"Jan 29, 2016","40,405.99","38,634.71","40,405.99","38,634.71","5.65M","4.60%"
"Jan 28, 2016","38,630.19","38,376.37","39,099.82","37,996.09","4.60M","0.66%"
"Jan 27, 2016","38,376.37","37,500.79","38,765.60","37,402.09","4.79M","2.34%"
"Jan 26, 2016","37,497.48","38,031.22","38,031.22","37,112.35","3.72M","-1.40%"
"Jan 22, 2016","38,031.22","37,736.93","38,443.80","37,736.93","4.33M","0.83%"
